[Zone]  ID=zCragrook1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=AmbientBeach; travelSongVolume=0.8; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=overworld1; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p2; zoneStoneDarkPalette=pFangWeaponHilt; zoneStoneLightPalette=p2; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pYellow6; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p2; zoneMisc2Palette=p12; zoneMisc3Palette=p2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=17;
[Item] ID=blockedLoE; q=1; x=21; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=18;
[Item] ID=blockedLoE; q=1; x=21; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=19;
[Item] ID=blockedLoE; q=1; x=21; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=20;
[Item] ID=blockedLoE; q=1; x=21; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=21;
[Item] ID=blockedLoE; q=1; x=21; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=22;
[Item] ID=blockedLoE; q=1; x=21; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=23;
[Item] ID=blockedLoE; q=1; x=21; y=23;
[Item] ID=outdoor_mtn_rangeR2_cr; q=1; x=21; y=24;
[Item] ID=blockedLoE; q=1; x=21; y=24;
[Item] ID=wall8_style5_p; q=3; r=90; x=21; y=25;
[Item] ID=roof4_style2; q=1; x=21; y=25;
[Item] ID=wall7_style5_p; q=3; r=180; x=21; y=26;
[Item] ID=roof8_style2; q=1; x=21; y=26;
[Item] ID=filth_faint; q=3; r=-270; x=21; y=26;
[Item] ID=wall7_style5_p; q=3; r=180; x=21; y=27;
[Item] ID=roof12_style2; q=1; x=21; y=27;
[Item] ID=filth_faint; q=1; r=90; x=21; y=27;
[Item] ID=wall3_style5_p; q=3; x=21; y=28;
[Item] ID=cantBlackenTile; q=1; x=21; y=28;
[Item] ID=wall6_style5_p; q=3; x=21; y=29;
[Item] ID=filth; q=1; r=-360; x=21; y=29;
[Item] ID=dirt_sandy2; q=1; r=-270; x=21; y=29;
[Item] ID=cantBlackenTile; q=1; x=21; y=29;
[Item] ID=brazierSpilled; q=1; x=21; y=30;
[Item] ID=rocks1; q=1; x=21; y=31;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=22; y=15;
[Item] ID=blockedLoE; q=1; x=22; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=22; y=16;
[Item] ID=blockedLoE; q=1; x=22; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=22; y=17;
[Item] ID=blockedLoE; q=1; x=22; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=22; y=18;
[Item] ID=blockedLoE; q=1; x=22; y=18;
[Item] ID=outdoor_mtn_rangeM13_cr; q=1; x=22; y=19;
[Item] ID=blockedLoE; q=1; x=22; y=19;
[Item] ID=outdoor_mtn_rangeM14_cr; q=1; x=22; y=20;
[Item] ID=roof2_top_point2; q=1; x=22; y=20;
[Item] ID=blockedLoE; q=1; x=22; y=20;
[Item] ID=roof2_gableL2; q=1; x=22; y=21;
[Item] ID=blockedLoE; q=1; x=22; y=21;
[Item] ID=roof2_gableL3; q=1; x=22; y=22;
[Item] ID=fade_s_roof_diag1; q=1; x=22; y=22;
[Item] ID=outdoor_mtn_rangeR5_cr; q=1; x=22; y=23;
[Item] ID=fade_s_roof_diag2; q=1; x=22; y=23;
[Item] ID=outdoor_mtn_rangeR_base_cr; q=1; r=360; x=22; y=24;
[Item] ID=blockedLoE; q=1; x=22; y=24;
[Item] ID=woodPlank; q=1; x=22; y=25;
[Item] ID=rubble; q=1; x=22; y=28;
[Item] ID=debris_small3; q=1; r=-360; x=22; y=30;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=15;
[Item] ID=blockedLoE; q=1; x=23; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=16;
[Item] ID=blockedLoE; q=1; x=23; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=17;
[Item] ID=blockedLoE; q=1; x=23; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=18;
[Item] ID=blockedLoE; q=1; x=23; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=19;
[Item] ID=roof2_top_point1; q=1; x=23; y=19;
[Item] ID=blockedLoE; q=1; x=23; y=19;
[Item] ID=roof2_top_gable2; q=1; x=23; y=20;
[Item] ID=blockedLoE; q=1; x=23; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=23; y=20;
[Item] ID=roof2_top_gable3_nice; q=1; x=23; y=21;
[Item] ID=blockedLoE; q=1; x=23; y=21;
[Item] ID=fade_s_roof_circ1; q=1; x=23; y=21;
[Item] ID=lightSphere; q=1; x=23; y=22;
[Item] ID=fade_s_roof_diag2; q=1; x=23; y=22;
[Item] ID=fade_s_roof_diag2; q=1; r=-360; x=23; y=22;
[Item] ID=doorway_staticP; q=1; x=23; y=23;
[Item] ID=dirt_sandy1; q=1; r=90; x=23; y=24;
[Item] ID=railwayBlocker; q=1; x=23; y=24;
[Item] ID=debris_wood_dark; q=1; x=23; y=25;
[Item] ID=travelPoint_1; q=1; r=90; x=23; y=26;
[Item] ID=travelPoint_0; q=1; r=270; x=23; y=33;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=24; y=15;
[Item] ID=blockedLoE; q=1; x=24; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=24; y=16;
[Item] ID=blockedLoE; q=1; x=24; y=16;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=24; y=17;
[Item] ID=blockedLoE; q=1; x=24; y=17;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=24; y=18;
[Item] ID=blockedLoE; q=1; x=24; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=24; y=19;
[Item] ID=blockedLoE; q=1; x=24; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=24; y=20;
[Item] ID=roof2_top_point2; q=1; r=-360; x=24; y=20;
[Item] ID=blockedLoE; q=1; x=24; y=20;
[Item] ID=roof2_gableL2; q=1; r=-360; x=24; y=21;
[Item] ID=blockedLoE; q=1; x=24; y=21;
[Item] ID=roof2_gableL3; q=1; r=-360; x=24; y=22;
[Item] ID=fade_s_roof_diag1; q=1; r=-360; x=24; y=22;
[Item] ID=outdoor_mtn_rangeR5_cr; q=1; r=-360; x=24; y=23;
[Item] ID=fade_s_roof_diag2; q=1; r=-360; x=24; y=23;
[Item] ID=blockedLoE; q=1; x=24; y=24;
[Item] ID=outdoor_mtn_rangeR_base_cr; q=1; r=-360; x=24; y=24;
[Item] ID=rocks1; q=1; x=24; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=25; y=15;
[Item] ID=blockedLoE; q=1; x=25; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=25; y=16;
[Item] ID=blockedLoE; q=1; x=25; y=16;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=25; y=17;
[Item] ID=blockedLoE; q=1; x=25; y=17;
[Item] ID=outdoor_mtn_rangeL9_cr; q=1; x=25; y=18;
[Item] ID=blockedLoE; q=1; x=25; y=18;
[Item] ID=outdoor_mtn_rangeM14_cr; q=1; x=25; y=19;
[Item] ID=blockedLoE; q=1; x=25; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=25; y=20;
[Item] ID=blockedLoE; q=1; x=25; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=25; y=21;
[Item] ID=blockedLoE; q=1; x=25; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=25; y=22;
[Item] ID=blockedLoE; q=1; x=25; y=22;
[Item] ID=outdoor_mtn_rangeM13_cr; q=1; x=25; y=23;
[Item] ID=blockedLoE; q=1; x=25; y=23;
[Item] ID=outdoor_mtn_rangeM18_cr; q=1; x=25; y=24;
[Item] ID=blockedLoE; q=1; x=25; y=24;
[Item] ID=rocks1; q=2; x=25; y=25;
[Item] ID=woodPlank; q=1; bu=True; x=25; y=26;
[Item] ID=sign_hanging1; q=1; r=360; x=25; y=30;
[Item] ID=posters; q=1; r=360; oX=0; oY=8; x=25; y=30;
[Item] ID=rubble; q=1; x=25; y=38;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=26; y=15;
[Item] ID=blockedLoE; q=1; x=26; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=26; y=16;
[Item] ID=blockedLoE; q=1; x=26; y=16;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=26; y=17;
[Item] ID=blockedLoE; q=1; x=26; y=17;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=26; y=18;
[Item] ID=blockedLoE; q=1; x=26; y=18;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=26; y=19;
[Item] ID=blockedLoE; q=1; x=26; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=26; y=20;
[Item] ID=blockedLoE; q=1; x=26; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=26; y=21;
[Item] ID=blockedLoE; q=1; x=26; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=26; y=22;
[Item] ID=blockedLoE; q=1; x=26; y=22;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=26; y=23;
[Item] ID=blockedLoE; q=1; x=26; y=23;
[Item] ID=outdoor_mtn_rangeM1_cr; q=1; x=26; y=24;
[Item] ID=blockedLoE; q=1; x=26; y=24;
[Item] ID=pebbles1; q=1; r=180; x=26; y=25;
[Item] ID=rubble; q=1; x=26; y=26;
[Item] ID=rubble; q=1; x=26; y=29;
[Item] ID=woodSupport_above2; q=1; r=-90; x=26; y=30;
[Item] ID=rubble; q=1; x=26; y=31;
[Item] ID=woodSupport_above2; q=1; r=-90; x=26; y=31;
[Item] ID=blockedWalkJump; q=1; x=26; y=31;
[Item] ID=pebbles1; q=1; x=26; y=34;
[Item] ID=rubble; q=1; x=26; y=36;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=15;
[Item] ID=blockedLoE; q=1; x=27; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=16;
[Item] ID=blockedLoE; q=1; x=27; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=17;
[Item] ID=blockedLoE; q=1; x=27; y=17;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=27; y=18;
[Item] ID=blockedLoE; q=1; x=27; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=19;
[Item] ID=blockedLoE; q=1; x=27; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=20;
[Item] ID=blockedLoE; q=1; x=27; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=21;
[Item] ID=blockedLoE; q=1; x=27; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=22;
[Item] ID=blockedLoE; q=1; x=27; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=27; y=23;
[Item] ID=blockedLoE; q=1; x=27; y=23;
[Item] ID=outdoor_mtn_rangeR2_cr; q=1; x=27; y=24;
[Item] ID=blockedLoE; q=1; x=27; y=24;
[Item] ID=rubble; q=1; x=27; y=28;
[Item] ID=rubble; q=1; x=27; y=30;
[Item] ID=shoreEdge1; q=1; x=27; y=37;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=15;
[Item] ID=blockedLoE; q=1; x=28; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=16;
[Item] ID=blockedLoE; q=1; x=28; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=17;
[Item] ID=blockedLoE; q=1; x=28; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=18;
[Item] ID=blockedLoE; q=1; x=28; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=19;
[Item] ID=blockedLoE; q=1; x=28; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=20;
[Item] ID=blockedLoE; q=1; x=28; y=20;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=28; y=21;
[Item] ID=blockedLoE; q=1; x=28; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=22;
[Item] ID=blockedLoE; q=1; x=28; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=28; y=23;
[Item] ID=blockedLoE; q=1; x=28; y=23;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=28; y=24;
[Item] ID=blockedLoE; q=1; x=28; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=28; y=25;
[Item] ID=dirtEdge_side1; q=1; x=28; y=25;
[Item] ID=blockedLoE; q=1; x=28; y=25;
[Item] ID=shoreEdge1; q=1; x=28; y=35;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=15;
[Item] ID=blockedLoE; q=1; x=29; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=16;
[Item] ID=blockedLoE; q=1; x=29; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=17;
[Item] ID=blockedLoE; q=1; x=29; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=18;
[Item] ID=blockedLoE; q=1; x=29; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=19;
[Item] ID=blockedLoE; q=1; x=29; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=20;
[Item] ID=blockedLoE; q=1; x=29; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=21;
[Item] ID=blockedLoE; q=1; x=29; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=29; y=22;
[Item] ID=blockedLoE; q=1; x=29; y=22;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=29; y=23;
[Item] ID=blockedLoE; q=1; x=29; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=29; y=24;
[Item] ID=blockedLoE; q=1; x=29; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=29; y=25;
[Item] ID=blockedLoE; q=1; x=29; y=25;
[Item] ID=rocks1; q=1; r=-360; x=29; y=27;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=15;
[Item] ID=blockedLoE; q=1; x=30; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=16;
[Item] ID=blockedLoE; q=1; x=30; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=17;
[Item] ID=blockedLoE; q=1; x=30; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=18;
[Item] ID=blockedLoE; q=1; x=30; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=19;
[Item] ID=blockedLoE; q=1; x=30; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=30; y=20;
[Item] ID=blockedLoE; q=1; x=30; y=20;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=30; y=21;
[Item] ID=blockedLoE; q=1; x=30; y=21;
[Item] ID=outdoor_mtn_rangeM9_cr; q=1; x=30; y=22;
[Item] ID=blockedLoE; q=1; x=30; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=30; y=23;
[Item] ID=blockedLoE; q=1; x=30; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=30; y=24;
[Item] ID=blockedLoE; q=1; x=30; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=30; y=25;
[Item] ID=blockedLoE; q=1; x=30; y=25;
[Item] ID=rubble; q=1; x=30; y=29;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=31; y=15;
[Item] ID=blockedLoE; q=1; x=31; y=15;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=31; y=16;
[Item] ID=blockedLoE; q=1; x=31; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=31; y=17;
[Item] ID=blockedLoE; q=1; x=31; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=31; y=18;
[Item] ID=blockedLoE; q=1; x=31; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=31; y=19;
[Item] ID=blockedLoE; q=1; x=31; y=19;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=31; y=20;
[Item] ID=blockedLoE; q=1; x=31; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=31; y=21;
[Item] ID=blockedLoE; q=1; x=31; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=31; y=22;
[Item] ID=blockedLoE; q=1; x=31; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=31; y=23;
[Item] ID=blockedLoE; q=1; x=31; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=31; y=24;
[Item] ID=blockedLoE; q=1; x=31; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=31; y=25;
[Item] ID=blockedLoE; q=1; x=31; y=25;
[Item] ID=shoreEdge1; q=1; x=31; y=30;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=32; y=15;
[Item] ID=blockedLoE; q=1; x=32; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=32; y=16;
[Item] ID=blockedLoE; q=1; x=32; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=32; y=17;
[Item] ID=blockedLoE; q=1; x=32; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=32; y=18;
[Item] ID=blockedLoE; q=1; x=32; y=18;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=32; y=19;
[Item] ID=blockedLoE; q=1; x=32; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=32; y=20;
[Item] ID=blockedLoE; q=1; x=32; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=32; y=21;
[Item] ID=blockedLoE; q=1; x=32; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=32; y=22;
[Item] ID=blockedLoE; q=1; x=32; y=22;
[Item] ID=outdoor_mtn_rangeL9_cr; q=1; x=32; y=23;
[Item] ID=blockedLoE; q=1; x=32; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=32; y=24;
[Item] ID=blockedLoE; q=1; x=32; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; r=-360; x=32; y=25;
[Item] ID=blockedLoE; q=1; x=32; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=33; y=15;
[Item] ID=blockedLoE; q=1; x=33; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=33; y=16;
[Item] ID=blockedLoE; q=1; x=33; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=33; y=17;
[Item] ID=blockedLoE; q=1; x=33; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=33; y=18;
[Item] ID=blockedLoE; q=1; x=33; y=18;
[Item] ID=outdoor_mtn_rangeM12_cr; q=1; x=33; y=19;
[Item] ID=blockedLoE; q=1; x=33; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=33; y=20;
[Item] ID=blockedLoE; q=1; x=33; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=33; y=21;
[Item] ID=blockedLoE; q=1; x=33; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=33; y=22;
[Item] ID=blockedLoE; q=1; x=33; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=33; y=23;
[Item] ID=blockedLoE; q=1; x=33; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=33; y=24;
[Item] ID=blockedLoE; q=1; x=33; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; r=-360; x=33; y=25;
[Item] ID=blockedLoE; q=1; x=33; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=34; y=15;
[Item] ID=blockedLoE; q=1; x=34; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=34; y=16;
[Item] ID=blockedLoE; q=1; x=34; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=34; y=17;
[Item] ID=blockedLoE; q=1; x=34; y=17;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=34; y=18;
[Item] ID=blockedLoE; q=1; x=34; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=34; y=19;
[Item] ID=blockedLoE; q=1; x=34; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=34; y=20;
[Item] ID=blockedLoE; q=1; x=34; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=34; y=21;
[Item] ID=blockedLoE; q=1; x=34; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=34; y=22;
[Item] ID=blockedLoE; q=1; x=34; y=22;
[Item] ID=outdoor_mtn_rangeL7_cr; q=1; r=-360; x=34; y=23;
[Item] ID=blockedLoE; q=1; x=34; y=23;
[Item] ID=outdoor_mtn_rangeL1_cr; q=1; r=-360; x=34; y=24;
[Item] ID=blockedLoE; q=1; x=34; y=24;
[Item] ID=outdoor_mtn_rangeL_base_cr; q=1; r=-360; x=34; y=25;
[Item] ID=blockedLoE; q=1; x=34; y=25;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=35; y=15;
[Item] ID=blockedLoE; q=1; x=35; y=15;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=35; y=16;
[Item] ID=blockedLoE; q=1; x=35; y=16;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=35; y=17;
[Item] ID=blockedLoE; q=1; x=35; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=35; y=18;
[Item] ID=blockedLoE; q=1; x=35; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=35; y=19;
[Item] ID=blockedLoE; q=1; x=35; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=35; y=20;
[Item] ID=blockedLoE; q=1; x=35; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=35; y=21;
[Item] ID=blockedLoE; q=1; x=35; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=35; y=22;
[Item] ID=blockedLoE; q=1; x=35; y=22;
[Item] ID=portcullis_closed; q=1; x=35; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=15;
[Item] ID=blockedLoE; q=1; x=36; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=16;
[Item] ID=blockedLoE; q=1; x=36; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=17;
[Item] ID=blockedLoE; q=1; x=36; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=18;
[Item] ID=blockedLoE; q=1; x=36; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=19;
[Item] ID=blockedLoE; q=1; x=36; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=20;
[Item] ID=blockedLoE; q=1; x=36; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=36; y=21;
[Item] ID=blockedLoE; q=1; x=36; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=36; y=22;
[Item] ID=blockedLoE; q=1; x=36; y=22;
[Item] ID=portcullis_closed; q=1; x=36; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=15;
[Item] ID=blockedLoE; q=1; x=37; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=16;
[Item] ID=blockedLoE; q=1; x=37; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=17;
[Item] ID=blockedLoE; q=1; x=37; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=18;
[Item] ID=blockedLoE; q=1; x=37; y=18;
[Item] ID=outdoor_mtn_rangeL9_cr; q=1; x=37; y=19;
[Item] ID=blockedLoE; q=1; x=37; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=20;
[Item] ID=blockedLoE; q=1; x=37; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=37; y=21;
[Item] ID=blockedLoE; q=1; x=37; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=37; y=22;
[Item] ID=blockedLoE; q=1; x=37; y=22;
[Item] ID=portcullis_closed; q=1; x=37; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=15;
[Item] ID=blockedLoE; q=1; x=38; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=16;
[Item] ID=blockedLoE; q=1; x=38; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=17;
[Item] ID=blockedLoE; q=1; x=38; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=18;
[Item] ID=blockedLoE; q=1; x=38; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=19;
[Item] ID=blockedLoE; q=1; x=38; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=20;
[Item] ID=blockedLoE; q=1; x=38; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=38; y=21;
[Item] ID=blockedLoE; q=1; x=38; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=38; y=22;
[Item] ID=blockedLoE; q=1; x=38; y=22;
[Item] ID=portcullis_closed; q=1; x=38; y=24;
[Item] ID=mechanismSplitter10; q=1; bu=True; x=38; y=25;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=15;
[Item] ID=blockedLoE; q=1; x=39; y=15;
